Message_size,Avg_latency,Bandwidth,Time_comm
1,0.30238095238095236,13.974285714285713,3.7394096055923906e-07
2,0.3,28.28238095238095,3.707154041722088e-07
4,0.29095238095238096,56.08714285714285,3.62269973474222e-07
8,0.2980952380952381,115.06904761904764,3.676187126136432e-07
16,0.30047619047619045,227.0847619047619,3.709344628225767e-07
32,0.37666666666666665,462.2485714285714,4.458934895881622e-07
64,0.3742857142857143,880.8138095238095,4.4694579216823525e-07
128,0.42095238095238097,1259.8295238095238,5.225534290155732e-07
256,0.43285714285714283,2454.9014285714284,5.371383156246267e-07
512,0.47333333333333333,4593.449523809524,5.847964064216773e-07
1024,0.6004761904761905,8405.376666666667,7.223029735709794e-07
2048,0.8709523809523809,12258.762380952381,1.0380165540194904e-06
4096,1.2052380952380954,15772.24142857143,1.4649348554322484e-06
8192,1.9504761904761905,20480.515714285713,2.3504661181851816e-06
16384,3.1433333333333335,9577.419047619047,4.854023856379109e-06
32768,5.465714285714286,10380.655714285715,8.622354954849005e-06
65536,9.85190476190476,14880.507142857145,1.4256055734101848e-05
131072,18.261904761904763,16265.763809523809,2.6320056935690522e-05
262144,24.598571428571432,12979.098571428573,4.4795967923969694e-05
524288,55.11285714285715,11314.544285714286,0.0001014503840251342
1048576,108.23571428571428,11464.863333333333,0.00019969567935580236
