Message_size,Avg_latency,Bandwidth,Time_comm
1,0.28238095238095234,11.904285714285715,3.663843125153577e-07
2,0.27999999999999997,24.209047619047617,3.6261374141898935e-07
4,0.2795238095238095,47.75476190476191,3.6328508987480916e-07
8,0.2795238095238095,95.59666666666666,3.6320873577646827e-07
16,0.2795238095238095,192.55809523809526,3.626156160781704e-07
32,0.370952380952381,367.1280952380953,4.58115418636127e-07
64,0.3628571428571429,752.8280952380952,4.47869910585689e-07
128,0.5995238095238096,698.8671428571428,7.826773621099336e-07
256,0.6561904761904762,1343.2219047619049,8.467770048142613e-07
512,0.7871428571428571,2249.347619047619,1.0147644109055355e-06
1024,0.93,3231.249523809524,1.2469052691395811e-06
2048,1.269047619047619,4614.525714285714,1.7128635444112534e-06
4096,1.8676190476190475,5353.258095238095,2.6327605609048596e-06
8192,2.9952380952380953,6995.222380952381,4.166323094952526e-06
16384,4.776666666666666,5951.087619047619,7.529776862450006e-06
32768,7.924285714285714,6773.0861904761905,1.2762257515984608e-05
65536,14.053333333333333,9916.432857142858,2.066216142142895e-05
131072,26.138571428571428,12918.110952380954,3.6284946582273136e-05
262144,17.851904761904763,15595.304761904763,3.4661066493732476e-05
524288,33.107619047619046,16467.89857142857,6.494458948594977e-05
1048576,69.75809523809524,15724.629523809523,0.00013644176485411345
